sub	run	n_vol	n_censor	p_censor	n_vol_blocks	n_censor_blocks	p_censor_blocks	n_vol_food	n_censor_food	p_censor_food
080	5.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
051	1.0	78.0	7.0	9.0	54.0	2.0	3.7	36.0	1.0	2.8
051	2.0	78.0	4.0	5.1	54.0	2.0	3.7	36.0	2.0	5.6
051	3.0	78.0	2.0	2.6	54.0	1.0	1.9	36.0	0.0	0.0
051	4.0	74.0	21.0	28.4	54.0	13.0	24.1	36.0	5.0	13.9
051	5.0	78.0	33.0	42.3	54.0	23.0	42.6	36.0	20.0	55.6
133	1.0	78.0	1.0	1.3	54.0	0.0	0.0	36.0	0.0	0.0
133	2.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
133	3.0	78.0	2.0	2.6	54.0	0.0	0.0	36.0	0.0	0.0
133	4.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
133	5.0	78.0	2.0	2.6	54.0	2.0	3.7	36.0	2.0	5.6
009	1.0	78.0	35.0	44.9	54.0	22.0	40.7	36.0	13.0	36.1
009	2.0	78.0	14.0	17.9	54.0	11.0	20.4	36.0	5.0	13.9
009	3.0	78.0	20.0	25.6	54.0	11.0	20.4	36.0	6.0	16.7
009	4.0	78.0	50.0	64.1	54.0	33.0	61.1	36.0	29.0	80.6
009	5.0	78.0	40.0	51.3	54.0	24.0	44.4	36.0	16.0	44.4
037	1.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
037	2.0	78.0	4.0	5.1	54.0	1.0	1.9	36.0	0.0	0.0
037	3.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
037	4.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
037	5.0	78.0	7.0	9.0	54.0	4.0	7.4	36.0	4.0	11.1
106	1.0	78.0	41.0	52.6	54.0	26.0	48.1	36.0	16.0	44.4
106	2.0	78.0	41.0	52.6	54.0	26.0	48.1	36.0	13.0	36.1
109	1.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
109	2.0	78.0	7.0	9.0	54.0	6.0	11.1	36.0	6.0	16.7
109	3.0	78.0	5.0	6.4	54.0	3.0	5.6	36.0	2.0	5.6
109	4.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
109	5.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
058	1.0	78.0	7.0	9.0	54.0	1.0	1.9	36.0	1.0	2.8
058	2.0	78.0	8.0	10.3	54.0	7.0	13.0	36.0	6.0	16.7
058	3.0	78.0	9.0	11.5	54.0	3.0	5.6	36.0	2.0	5.6
058	4.0	78.0	35.0	44.9	54.0	23.0	42.6	36.0	21.0	58.3
058	5.0	78.0	18.0	23.1	54.0	11.0	20.4	36.0	9.0	25.0
096	1.0	78.0	14.0	17.9	54.0	8.0	14.8	36.0	8.0	22.2
096	2.0	78.0	9.0	11.5	54.0	2.0	3.7	36.0	0.0	0.0
096	3.0	78.0	17.0	21.8	54.0	13.0	24.1	36.0	13.0	36.1
096	4.0	78.0	9.0	11.5	54.0	3.0	5.6	36.0	1.0	2.8
096	5.0	78.0	1.0	1.3	54.0	0.0	0.0	36.0	0.0	0.0
021	1.0	78.0	5.0	6.4	54.0	3.0	5.6	36.0	1.0	2.8
021	2.0	78.0	4.0	5.1	54.0	1.0	1.9	36.0	1.0	2.8
021	3.0	78.0	6.0	7.7	54.0	1.0	1.9	36.0	1.0	2.8
021	4.0	78.0	17.0	21.8	54.0	8.0	14.8	36.0	5.0	13.9
021	5.0	78.0	1.0	1.3	54.0	0.0	0.0	36.0	0.0	0.0
026	1.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
026	2.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
026	3.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
026	4.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
026	5.0	78.0	2.0	2.6	54.0	2.0	3.7	36.0	2.0	5.6
047	1.0	78.0	8.0	10.3	54.0	5.0	9.3	36.0	1.0	2.8
047	2.0	78.0	6.0	7.7	54.0	4.0	7.4	36.0	4.0	11.1
047	3.0	78.0	4.0	5.1	54.0	3.0	5.6	36.0	1.0	2.8
047	4.0	78.0	6.0	7.7	54.0	4.0	7.4	36.0	4.0	11.1
047	5.0	78.0	0.0	0.0	54.0	0.0	0.0	36.0	0.0	0.0
041	1.0	78.0	6.0	7.7	54.0	4.0	7.4	36.0	3.0	8.3
041	2.0	78.0	23.0	29.5	54.0	15.0	27.8	36.0	12.0	33.3
041	3.0	78.0	11.0	14.1	54.0	7.0	13.0	36.0	2.0	5.6
041	4.0	78.0	1.0	1.3	54.0	1.0	1.9	36.0	1.0	2.8
041	5.0	78.0	21.0	26.9	54.0	19.0	35.2	36.0	12.0	33.3
128	1.0	78.0	2.0	2.6	54.0	2.0	3.7	36.0	2.0	5.6
128	2.0	78.0	2.0	2.6	54.0	1.0	1.9	36.0	1.0	2.8
128	3.0	78.0	1.0	1.3	54.0	0.0	0.0	36.0	0.0	0.0
